LOANID,MEMBERID,BOOKID,ISSUEDATE,RETURNDATE,STATUS,FINE
5397,3722,2409,27-03-2023,07-08-2024,Returned,698
5398,3117,2652,11-07-2023,08-04-2025,Returned,974
5399,3145,2940,18-03-2023,29-09-2024,Returned,822
5400,3434,2555,02-05-2024,,Issued,0
5401,3426,2568,16-04-2024,01-01-2025,Returned,220
5402,3810,2850,22-08-2023,17-02-2025,Returned,790
5403,3881,2658,05-10-2022,30-11-2024,Returned,1274
5404,3144,2163,17-09-2022,21-04-2025,Returned,1594
5405,3948,2463,07-01-2023,04-03-2025,Returned,1274
5406,3184,2583,26-05-2024,12-03-2025,Returned,280
5407,3746,2391,21-07-2022,04-02-2025,Returned,1558
5408,3271,2992,17-12-2023,04-07-2024,Returned,100
5409,3373,2421,05-05-2024,23-12-2024,Returned,164
5410,3614,2098,18-09-2022,,Issued,0
5411,3047,2060,10-08-2023,09-11-2024,Returned,614
5412,3892,2154,15-07-2023,02-06-2024,Returned,346
5413,3664,2324,27-12-2023,06-08-2024,Returned,146
5414,3246,2198,13-08-2023,08-02-2025,Returned,790
5415,3151,2549,05-04-2024,13-12-2024,Returned,204
5416,3607,2520,17-11-2022,19-07-2024,Returned,920
5417,3931,2635,06-09-2022,11-11-2024,Returned,1294
5418,3468,2719,28-11-2022,17-05-2025,Returned,1502
5419,3869,2005,15-03-2023,22-06-2024,Returned,630
5420,3877,2489,12-12-2023,24-10-2024,Returned,334
5421,3010,2145,26-06-2023,,Issued,0
5422,3152,2093,25-07-2022,23-09-2024,Returned,1282
5423,3136,2986,04-01-2024,08-11-2024,Returned,318
5424,3310,2396,11-02-2024,11-11-2024,Returned,248
5425,3318,2159,03-02-2023,23-06-2024,Returned,712
5426,3695,2800,29-03-2023,11-04-2025,Returned,1188
5427,3734,2033,22-10-2022,18-11-2024,Returned,1216
5428,3281,2506,10-09-2023,02-03-2025,Returned,778
5429,3709,2081,22-08-2022,26-03-2025,Returned,1594
5430,3802,2889,14-09-2022,17-03-2025,Returned,1530
5431,3804,2672,31-12-2022,24-06-2024,Returned,782
5432,3410,2682,27-01-2023,11-12-2024,Returned,1068
5433,3037,2462,20-11-2023,07-09-2024,Returned,284
5434,3663,2062,15-02-2023,22-04-2025,Returned,1294
5435,3697,2004,19-04-2023,23-12-2024,Returned,928
5436,3991,2476,23-10-2022,07-06-2024,Returned,886
5437,3502,2081,18-09-2022,,Issued,0
5438,3260,2143,16-03-2024,25-08-2024,Returned,24
5439,3606,2075,19-01-2023,15-09-2024,Returned,910
5440,3899,2795,10-08-2022,09-03-2025,Returned,1584
5441,3393,2051,09-03-2024,05-10-2024,Returned,120
5442,3278,2649,20-01-2023,17-05-2025,Returned,1396
5443,3341,2731,06-04-2023,17-07-2024,Returned,636
5444,3794,2173,03-03-2024,12-09-2024,Returned,86
5445,3724,2786,24-11-2023,25-03-2025,Returned,674
5446,3721,2559,30-07-2023,25-09-2024,Returned,546
5447,3560,2604,09-12-2023,24-01-2025,Returned,524
5448,3587,2113,03-10-2023,11-05-2025,Returned,872
5449,3001,2821,03-09-2023,13-07-2024,Returned,328
5450,3027,2514,10-01-2023,09-01-2025,Returned,1160
5451,3633,2449,25-10-2022,,Issued,0
5452,3621,2438,22-07-2023,20-09-2024,Returned,552
5453,3197,2248,01-10-2022,07-06-2024,Returned,930
5454,3417,2628,25-10-2022,17-11-2024,Returned,1208
5455,3064,2661,22-02-2024,20-08-2024,Returned,60
5456,3175,2109,15-03-2023,12-06-2024,Returned,610
5457,3630,2110,08-11-2023,27-04-2025,Returned,772
5458,3994,2227,17-04-2024,16-05-2025,Returned,488
5459,3412,2112,28-11-2023,19-03-2025,Returned,654
5460,3242,2150,29-10-2022,,Issued,0
5461,3439,2660,09-01-2024,31-01-2025,Returned,476
5462,3572,2280,01-04-2024,02-12-2024,Returned,190
5463,3882,2187,03-08-2022,29-11-2024,Returned,1398
5464,3043,2691,18-10-2023,29-11-2024,Returned,516
5465,3900,2126,31-12-2023,24-02-2025,Returned,542
5466,3436,2203,13-11-2023,24-09-2024,Returned,332
5467,3817,2985,22-08-2022,25-05-2025,Returned,1714
5468,3506,2928,13-04-2024,,Issued,0
5469,3213,2477,30-05-2023,06-12-2024,Returned,812
5470,3847,2141,29-09-2022,13-02-2025,Returned,1436
5471,3255,2486,30-09-2022,08-12-2024,Returned,1300
5472,3550,2524,03-10-2022,07-04-2025,Returned,1534
5473,3873,2450,29-06-2022,15-11-2024,Returned,1440
5474,3720,2953,17-12-2022,08-04-2025,Returned,1386
5475,3760,2165,28-05-2023,02-01-2025,Returned,870
5476,3081,2562,03-06-2022,27-03-2025,Returned,1756
5477,3632,2426,13-05-2024,07-02-2025,Returned,240
5478,3250,2196,10-09-2023,07-11-2024,Returned,548
5479,3303,2855,28-01-2023,23-11-2024,Returned,1030
5480,3885,2757,10-05-2024,17-03-2025,Returned,322
5481,3471,2162,22-11-2022,23-11-2024,Returned,1164
5482,3400,2723,05-05-2024,12-05-2025,Returned,444
5483,3002,2532,02-12-2023,25-10-2024,Returned,356
5484,3202,2679,25-01-2024,10-02-2025,Returned,464
5485,3078,2678,03-10-2023,01-06-2025,Returned,914
5486,3101,2294,14-01-2023,12-04-2025,Returned,1338
5487,3085,2282,29-05-2024,,Issued,0
5488,3516,2383,20-08-2022,10-12-2024,Returned,1386
5489,3619,2491,07-04-2024,01-09-2024,Returned,0
5490,3252,2655,26-04-2024,18-07-2024,Returned,0
5491,3124,2303,20-01-2023,11-06-2024,Returned,716
5492,3832,2833,24-08-2022,08-11-2024,Returned,1314
5493,3527,2774,21-04-2023,27-05-2025,Returned,1234
5494,3802,2589,20-04-2024,01-10-2024,Returned,28
5495,3518,2584,03-07-2022,08-02-2025,Returned,1602
5496,3886,2980,13-06-2022,23-06-2024,Returned,1182
5497,3226,2265,19-02-2024,,Issued,0
5498,3004,2753,22-02-2023,20-06-2024,Returned,668
5499,3195,2773,25-07-2022,06-07-2024,Returned,1124
5500,3481,2728,08-05-2023,19-09-2024,Returned,700
5501,3620,2280,23-03-2023,21-01-2025,Returned,1040
5502,3355,2652,15-09-2022,09-06-2024,Returned,966
5503,3245,2823,22-02-2024,10-10-2024,Returned,162
5504,3638,2122,30-07-2023,10-10-2024,Returned,576
5505,3365,2630,07-04-2023,14-12-2024,Returned,934
5506,3423,2512,28-05-2023,09-03-2025,Returned,1002
5507,3694,2204,23-10-2022,19-06-2024,Returned,910
5508,3346,2179,27-06-2022,11-04-2025,Returned,1738
5509,3946,2108,13-02-2024,11-12-2024,Returned,304
5510,3411,2789,20-08-2023,23-04-2025,Returned,924
5511,3095,2674,07-06-2022,25-07-2024,Returned,1258
5512,3174,2718,24-09-2023,19-02-2025,Returned,728
5513,3222,2295,24-10-2023,,Issued,0
5514,3105,2292,26-03-2024,22-11-2024,Returned,182
5515,3617,2164,05-08-2023,23-10-2024,Returned,590
5516,3607,2288,25-08-2022,22-05-2025,Returned,1702
5517,3485,2436,07-03-2024,13-05-2025,Returned,564
5518,3122,2209,05-05-2024,03-11-2024,Returned,64
5519,3090,2084,25-05-2023,06-04-2025,Returned,1064
5520,3065,2076,01-05-2023,13-05-2025,Returned,1186
5521,3082,2615,17-01-2023,26-02-2025,Returned,1242
5522,3791,2706,20-03-2023,12-08-2024,Returned,722
5523,3870,2479,16-07-2023,13-08-2024,Returned,488
5524,3804,2594,23-02-2024,09-10-2024,Returned,158
5525,3267,2003,19-11-2022,20-08-2024,Returned,980
5526,3944,2251,27-04-2024,14-02-2025,Returned,286
5527,3480,2945,26-04-2023,,Issued,0
5528,3462,2178,15-03-2024,10-12-2024,Returned,240
5529,3606,2687,18-04-2023,25-01-2025,Returned,996
5530,3653,2233,12-02-2024,10-03-2025,Returned,484
5531,3993,2598,02-11-2023,05-06-2024,Returned,132
5532,3867,2182,03-08-2023,26-09-2024,Returned,540
5533,3679,2248,19-08-2022,31-07-2024,Returned,1124
5534,3763,2102,14-05-2024,12-12-2024,Returned,124
5535,3091,2801,03-02-2024,08-03-2025,Returned,498
5536,3761,2448,24-09-2023,16-04-2025,Returned,840
5537,3616,2071,27-08-2023,29-08-2024,Returned,436
5538,3946,2838,04-01-2024,06-01-2025,Returned,436
5539,3980,2031,21-11-2023,04-01-2025,Returned,520
5540,3932,2633,23-10-2023,14-04-2025,Returned,778
5541,3454,2608,02-05-2024,16-09-2024,Returned,0
5542,3544,2847,15-06-2023,02-12-2024,Returned,772
5543,3877,2093,21-05-2023,03-05-2025,Returned,1126
5544,3890,2378,04-12-2023,31-08-2024,Returned,242
5545,3868,2690,29-06-2022,18-03-2025,Returned,1686
5546,3067,2437,19-07-2022,26-12-2024,Returned,1482
5547,3534,2977,13-11-2022,20-12-2024,Returned,1236
5548,3623,2428,27-07-2023,18-08-2024,Returned,476
5549,3786,2271,18-09-2023,16-04-2025,Returned,852
5550,3655,2297,10-04-2023,31-05-2025,Returned,1264
5551,3356,2506,03-05-2024,28-12-2024,Returned,178
5552,3999,2082,11-03-2023,21-06-2024,Returned,636
5553,3622,2978,19-06-2022,16-10-2024,Returned,1400
5554,3088,2718,24-11-2023,14-07-2024,Returned,166
5555,3054,2486,13-01-2023,29-06-2024,Returned,766
5556,3613,2769,27-07-2022,27-08-2024,Returned,1224
5557,3820,2508,09-03-2024,11-09-2024,Returned,72
5558,3161,2029,01-10-2022,10-02-2025,Returned,1426
5559,3134,2203,23-05-2024,,Issued,0
5560,3215,2340,19-07-2022,23-07-2024,Returned,1170
5561,3001,2659,29-08-2022,20-05-2025,Returned,1690
5562,3936,2456,15-08-2023,24-09-2024,Returned,512
5563,3681,2418,02-04-2023,26-11-2024,Returned,908
5564,3335,2429,13-12-2023,27-01-2025,Returned,522
5565,3541,2159,07-11-2023,30-06-2024,Returned,172
5566,3001,2109,03-10-2022,01-05-2025,Returned,1582
5567,3943,2380,07-09-2023,16-07-2024,Returned,326
5568,3325,2714,21-08-2023,13-07-2024,Returned,354
5569,3600,2895,28-11-2023,02-01-2025,Returned,502
5570,3396,2623,24-03-2023,17-01-2025,Returned,1030
5571,3410,2676,14-04-2024,10-11-2024,Returned,120
5572,3075,2865,02-03-2023,22-06-2024,Returned,656
5573,3796,2256,17-06-2022,16-01-2025,Returned,1588
5574,3842,2162,28-04-2024,05-03-2025,Returned,322
5575,3836,2137,08-01-2024,29-08-2024,Returned,168
5576,3899,2361,07-09-2022,31-01-2025,Returned,1454
5577,3473,2862,12-05-2023,20-05-2025,Returned,1178
5578,3817,2762,07-12-2023,27-06-2024,Returned,106
5579,3684,2141,20-03-2024,,Issued,0
5580,3955,2563,18-07-2023,31-01-2025,Returned,826
5581,3479,2264,28-02-2024,,Issued,0
5582,3559,2534,25-09-2022,20-01-2025,Returned,1396
5583,3054,2869,04-01-2024,11-05-2025,Returned,686
5584,3378,2319,05-05-2024,19-07-2024,Returned,0
5585,3328,2362,05-06-2022,05-12-2024,Returned,1528
5586,3368,2470,16-09-2023,,Issued,0
5587,3727,2672,24-12-2022,17-07-2024,Returned,842
5588,3499,2856,14-05-2023,08-10-2024,Returned,726
5589,3563,2402,08-01-2023,13-08-2024,Returned,866
5590,3566,2107,20-09-2023,02-01-2025,Returned,640
5591,3921,2280,02-05-2024,16-05-2025,Returned,458
5592,3160,2949,29-11-2023,07-03-2025,Returned,628
5593,3829,2053,21-09-2022,07-04-2025,Returned,1558
5594,3778,2270,29-12-2023,26-12-2024,Returned,426
5595,3566,2354,10-04-2023,22-12-2024,Returned,944
5596,3488,2136,06-05-2023,04-11-2024,Returned,796
5597,3958,2820,25-03-2024,,Issued,0
5598,3278,2653,28-11-2023,31-05-2025,Returned,800
5599,3712,2789,16-04-2023,29-03-2025,Returned,1126
5600,3383,2359,18-01-2023,11-06-2024,Returned,720
5601,3207,2096,28-07-2023,17-03-2025,Returned,896
5602,3040,2564,07-07-2023,16-11-2024,Returned,696
5603,3374,2748,22-07-2022,02-12-2024,Returned,1428
5604,3653,2643,29-07-2022,23-02-2025,Returned,1580
5605,3624,2827,19-12-2022,,Issued,0
5606,3277,2116,15-05-2024,17-10-2024,Returned,10
5607,3982,2988,11-09-2023,10-07-2024,Returned,306
5608,3921,2419,17-09-2023,20-07-2024,Returned,314
5609,3277,2758,17-03-2024,19-07-2024,Returned,0
5610,3495,2802,10-03-2024,10-08-2024,Returned,6
5611,3821,2047,02-06-2023,22-08-2024,Returned,594
5612,3161,2769,21-01-2023,09-07-2024,Returned,770
5613,3006,2408,19-02-2024,14-12-2024,Returned,298
5614,3929,2920,28-08-2022,27-09-2024,Returned,1222
5615,3010,2371,18-12-2022,22-03-2025,Returned,1350
5616,3645,2830,09-02-2024,14-10-2024,Returned,196
5617,3421,2264,07-06-2023,10-07-2024,Returned,498
5618,3057,2454,07-07-2022,13-03-2025,Returned,1660
5619,3799,2397,28-02-2024,27-10-2024,Returned,184
5620,3661,2815,14-10-2022,10-10-2024,Returned,1154
5621,3943,2829,03-04-2023,,Issued,0
5622,3031,2234,17-08-2023,05-06-2024,Returned,286
5623,3435,2521,18-04-2024,29-09-2024,Returned,28
5624,3266,3000,31-03-2023,28-10-2024,Returned,854
5625,3216,2713,26-11-2022,25-02-2025,Returned,1344
5626,3120,2351,18-07-2022,20-06-2024,Returned,1106
5627,3708,2414,25-08-2022,,Issued,0
5628,3216,2082,11-01-2023,07-09-2024,Returned,910
5629,3136,2695,04-02-2024,,Issued,0
5630,3816,2482,20-01-2024,13-04-2025,Returned,598
5631,3059,2879,23-06-2023,11-09-2024,Returned,592
5632,3824,2300,20-10-2023,19-05-2025,Returned,854
5633,3725,2256,19-07-2023,08-09-2024,Returned,534
5634,3712,2527,07-06-2022,27-06-2024,Returned,1202
5635,3952,2772,05-08-2023,,Issued,0
5636,3852,2889,22-01-2024,20-10-2024,Returned,244
5637,3817,2938,06-07-2023,20-05-2025,Returned,1068
5638,3984,2970,21-02-2024,28-01-2025,Returned,384
5639,3520,2042,17-11-2023,18-07-2024,Returned,188
5640,3276,2480,04-08-2023,31-08-2024,Returned,486
5641,3170,2428,30-05-2024,22-08-2024,Returned,0
5642,3572,2356,08-06-2023,07-02-2025,Returned,920
5643,3748,2287,14-12-2023,01-06-2025,Returned,770
5644,3983,2275,04-11-2022,20-01-2025,Returned,1316
5645,3530,2172,17-03-2023,18-10-2024,Returned,862
5646,3657,2980,12-03-2023,15-04-2025,Returned,1230
5647,3045,2257,22-02-2023,02-11-2024,Returned,938
5648,3509,2307,04-06-2022,30-03-2025,Returned,1760
5649,3272,2808,02-10-2023,12-05-2025,Returned,876
5650,3721,2222,09-09-2022,12-08-2024,Returned,1106
5651,3233,2607,02-01-2024,13-01-2025,Returned,454
5652,3325,2522,06-10-2023,18-08-2024,Returned,334
5653,3778,2761,02-08-2023,09-04-2025,Returned,932
5654,3489,2252,07-08-2022,04-09-2024,Returned,1218
5655,3640,2886,04-11-2023,05-01-2025,Returned,556
5656,3867,2381,28-03-2024,20-08-2024,Returned,0
5657,3001,2310,31-07-2023,21-12-2024,Returned,718
5658,3649,2497,05-01-2023,03-02-2025,Returned,1220
5659,3636,2485,20-12-2022,20-11-2024,Returned,1102
5660,3952,2442,07-04-2023,25-01-2025,Returned,1018
5661,3359,2145,10-07-2022,27-05-2025,Returned,1804
5662,3761,2149,03-09-2023,31-08-2024,Returned,426
5663,3370,2424,27-01-2024,09-12-2024,Returned,334
5664,3361,2042,21-10-2022,20-05-2025,Returned,1584
5665,3712,2605,18-06-2022,15-03-2025,Returned,1702
5666,3023,2971,02-07-2023,15-08-2024,Returned,520
5667,3268,2457,28-11-2023,13-09-2024,Returned,280
5668,3189,2956,28-06-2023,,Issued,0
5669,3431,2464,14-04-2023,01-02-2025,Returned,1018
5670,3613,2149,06-01-2024,26-12-2024,Returned,410
5671,3783,2741,18-06-2022,08-08-2024,Returned,1264
5672,3822,2850,05-08-2022,,Issued,0
5673,3287,2587,21-05-2023,24-06-2024,Returned,500
5674,3049,2498,05-03-2024,17-06-2024,Returned,0
5675,3362,2379,29-01-2024,23-02-2025,Returned,482
5676,3349,2304,06-11-2022,10-10-2024,Returned,1108
5677,3237,2562,20-08-2023,24-11-2024,Returned,624
5678,3223,2624,22-02-2024,08-12-2024,Returned,280
5679,3031,2330,19-04-2024,15-01-2025,Returned,242
5680,3542,2568,15-10-2023,,Issued,0
5681,3710,2008,17-07-2022,19-01-2025,Returned,1534
5682,3473,2806,02-08-2023,24-01-2025,Returned,782
5683,3311,2747,23-07-2022,17-09-2024,Returned,1274
5684,3981,2134,15-02-2024,06-06-2024,Returned,0
5685,3268,2020,07-06-2023,10-11-2024,Returned,744
5686,3018,2889,31-01-2024,05-09-2024,Returned,136
5687,3138,2737,20-02-2023,25-09-2024,Returned,866
5688,3745,2432,10-11-2023,23-08-2024,Returned,274
5689,3503,2461,20-04-2023,16-03-2025,Returned,1092
5690,3230,2243,26-08-2023,30-09-2024,Returned,502
5691,3649,2286,20-02-2023,04-08-2024,Returned,762
5692,3984,2067,27-07-2022,06-03-2025,Returned,1606
5693,3622,2245,01-12-2022,13-05-2025,Returned,1488
5694,3746,2543,12-07-2022,08-10-2024,Returned,1338
5695,3178,2346,04-02-2024,01-09-2024,Returned,120
5696,3317,2238,28-02-2023,18-04-2025,Returned,1260
5697,3325,2310,22-11-2022,31-07-2024,Returned,934
5698,3232,2722,24-09-2022,04-01-2025,Returned,1366
5699,3114,2898,09-03-2023,15-07-2024,Returned,688
5700,3648,2108,08-01-2023,14-10-2024,Returned,990
5701,3040,2292,07-02-2024,09-02-2025,Returned,436
5702,3793,2935,04-11-2023,27-01-2025,Returned,600
5703,3911,2095,03-12-2022,01-06-2025,Returned,1522
5704,3374,2687,30-11-2023,,Issued,0
5705,3602,2023,07-02-2024,29-12-2024,Returned,352
5706,3658,2301,29-05-2023,07-02-2025,Returned,940
5707,3259,2647,05-08-2022,11-01-2025,Returned,1480
5708,3408,2153,09-11-2023,,Issued,0
5709,3651,2318,01-01-2023,11-12-2024,Returned,1120
5710,3502,2088,04-06-2022,,Issued,0
5711,3556,2747,02-06-2023,12-03-2025,Returned,998
5712,3147,2242,04-10-2023,,Issued,0
5713,3584,2850,07-03-2024,27-07-2024,Returned,0
5714,3212,2106,02-03-2023,24-06-2024,Returned,660
5715,3826,2777,30-01-2023,02-12-2024,Returned,1044
5716,3946,2639,10-02-2023,19-05-2025,Returned,1358
5717,3236,2826,12-02-2024,17-10-2024,Returned,196
5718,3149,2353,30-09-2023,02-04-2025,Returned,800
5719,3220,2311,05-04-2023,02-07-2024,Returned,608
5720,3499,2318,07-02-2023,13-09-2024,Returned,868
5721,3899,2354,11-01-2024,,Issued,0
5722,3422,2918,10-08-2022,11-12-2024,Returned,1408
5723,3737,2112,31-08-2022,29-04-2025,Returned,1644
5724,3421,2494,03-01-2024,,Issued,0
5725,3388,2984,16-09-2023,,Issued,0
5726,3445,2860,05-07-2022,03-04-2025,Returned,1706
5727,3617,2362,09-01-2023,10-01-2025,Returned,1164
5728,3843,2444,11-10-2022,07-09-2024,Returned,1094
5729,3751,2555,15-10-2022,01-05-2025,Returned,1558
5730,3297,2958,22-09-2023,,Issued,0
5731,3992,2449,15-03-2023,01-10-2024,Returned,832
5732,3965,2185,27-09-2022,19-10-2024,Returned,1206
5733,3288,2050,10-11-2022,21-08-2024,Returned,1000
5734,3434,2769,16-06-2022,,Issued,0
5735,3452,2932,03-05-2024,15-06-2024,Returned,0
5736,3275,2084,10-03-2023,31-12-2024,Returned,1024
5737,3268,2036,28-10-2023,04-01-2025,Returned,568
5738,3465,2567,23-06-2023,06-05-2025,Returned,1066
5739,3628,2739,29-04-2024,29-07-2024,Returned,0
5740,3288,2562,03-06-2023,07-07-2024,Returned,500
5741,3566,2391,23-07-2023,25-08-2024,Returned,498
5742,3176,2095,05-03-2024,05-02-2025,Returned,374
5743,3272,2907,06-07-2023,13-01-2025,Returned,814
5744,3308,2470,06-11-2022,29-03-2025,Returned,1448
5745,3978,2902,30-05-2023,09-06-2024,Returned,452
5746,3838,2655,26-04-2023,25-10-2024,Returned,796
5747,3271,2871,24-01-2023,,Issued,0
5748,3281,2152,02-09-2023,,Issued,0
5749,3618,2660,03-05-2024,30-04-2025,Returned,424
5750,3682,2611,05-10-2022,24-02-2025,Returned,1446
5751,3791,2024,26-02-2023,07-02-2025,Returned,1124
5752,3695,2524,02-04-2024,27-09-2024,Returned,56
5753,3616,2858,01-01-2023,,Issued,0
5754,3011,2580,31-01-2023,22-04-2025,Returned,1324
5755,3961,2102,05-10-2023,26-12-2024,Returned,596
5756,3081,2597,14-01-2024,15-06-2024,Returned,6
5757,3189,2862,05-08-2022,16-07-2024,Returned,1122
5758,3623,2309,11-01-2023,23-09-2024,Returned,942
5759,3247,2066,05-07-2023,01-08-2024,Returned,486
5760,3752,2716,30-04-2023,18-01-2025,Returned,958
5761,3659,2682,29-11-2022,26-11-2024,Returned,1156
5762,3812,2149,10-05-2023,07-09-2024,Returned,672
5763,3331,2648,02-03-2024,26-07-2024,Returned,0
5764,3602,2819,22-09-2022,24-12-2024,Returned,1348
5765,3625,2597,04-07-2023,31-05-2025,Returned,1094
5766,3177,2054,18-04-2023,19-08-2024,Returned,678
5767,3966,2792,04-11-2023,24-11-2024,Returned,472
5768,3730,2251,06-03-2023,08-02-2025,Returned,1110
5769,3338,2923,04-06-2022,10-08-2024,Returned,1296
5770,3036,2278,14-10-2022,24-10-2024,Returned,1182
5771,3008,2460,28-03-2023,10-02-2025,Returned,1070
5772,3625,2335,21-09-2023,10-06-2024,Returned,226
5773,3180,2787,01-01-2024,24-01-2025,Returned,478
5774,3577,2066,06-04-2023,10-02-2025,Returned,1052
5775,3132,2476,18-01-2024,23-08-2024,Returned,136
5776,3750,2478,10-06-2022,23-04-2025,Returned,1796
5777,3760,2621,22-02-2024,15-06-2024,Returned,0
5778,3350,2573,29-10-2023,,Issued,0
5779,3088,2050,25-09-2022,06-07-2024,Returned,1000
5780,3887,2366,13-12-2022,20-12-2024,Returned,1176
5781,3802,2475,04-04-2024,25-01-2025,Returned,292
5782,3611,2158,11-04-2023,09-12-2024,Returned,916
5783,3180,2192,06-06-2022,20-06-2024,Returned,1190
5784,3404,2902,14-03-2023,22-02-2025,Returned,1122
5785,3225,2232,22-09-2022,25-10-2024,Returned,1228
5786,3265,2946,27-01-2024,19-05-2025,Returned,656
5787,3859,2891,28-11-2023,29-09-2024,Returned,312
5788,3181,2242,27-07-2023,20-05-2025,Returned,1026
5789,3236,2997,17-12-2023,05-10-2024,Returned,286
5790,3548,2827,20-02-2024,21-10-2024,Returned,188
5791,3366,2267,30-10-2023,17-03-2025,Returned,708
5792,3148,2875,25-06-2023,26-03-2025,Returned,980
5793,3474,2813,26-04-2023,20-04-2025,Returned,1150
5794,3201,2149,12-02-2024,27-01-2025,Returned,400
5795,3992,2913,31-12-2022,22-01-2025,Returned,1206
5796,3914,2940,01-01-2023,01-04-2025,Returned,1342
5797,3409,2815,31-03-2023,14-12-2024,Returned,948
5798,3666,2165,15-12-2022,06-02-2025,Returned,1268
5799,3702,2759,13-12-2022,18-12-2024,Returned,1172
5800,3638,2100,01-03-2024,10-06-2024,Returned,0
5801,3690,2481,24-01-2023,22-07-2024,Returned,790
5802,3580,2384,17-11-2023,17-07-2024,Returned,186
5803,3477,2344,23-10-2023,09-05-2025,Returned,828
5804,3731,2699,16-03-2023,10-01-2025,Returned,1032
5805,3122,2178,20-02-2023,,Issued,0
5806,3388,2825,05-05-2023,02-03-2025,Returned,1034
5807,3757,2714,03-06-2023,20-11-2024,Returned,772
5808,3272,2667,02-03-2024,,Issued,0
5809,3198,2182,27-05-2024,05-01-2025,Returned,146
5810,3162,2654,04-10-2023,21-05-2025,Returned,890
5811,3124,2053,30-04-2023,28-10-2024,Returned,794
5812,3752,2858,09-09-2022,11-04-2025,Returned,1590
5813,3750,2556,28-06-2022,25-08-2024,Returned,1278
5814,3576,2903,14-10-2023,02-09-2024,Returned,348
5815,3368,2018,23-11-2023,01-04-2025,Returned,690
5816,3794,2342,13-04-2024,03-09-2024,Returned,0
5817,3876,2703,22-11-2023,08-02-2025,Returned,588
5818,3241,2648,25-01-2023,17-08-2024,Returned,840
5819,3144,2869,01-06-2023,,Issued,0
5820,3223,2914,24-03-2024,10-02-2025,Returned,346
5821,3363,2716,08-06-2023,26-03-2025,Returned,1014
5822,3196,2061,20-01-2024,20-11-2024,Returned,310
5823,3779,2488,31-01-2024,,Issued,0
5824,3112,2133,19-05-2024,17-01-2025,Returned,186
5825,3323,2702,06-03-2023,17-07-2024,Returned,698
5826,3539,2038,29-10-2022,11-12-2024,Returned,1248
5827,3335,2461,07-07-2022,08-02-2025,Returned,1594
5828,3473,2454,14-02-2024,11-01-2025,Returned,364
5829,3118,2013,04-12-2023,26-09-2024,Returned,294
5830,3059,2148,05-07-2022,21-12-2024,Returned,1500
5831,3944,2292,22-04-2023,25-10-2024,Returned,804
5832,3757,2328,27-02-2024,22-02-2025,Returned,422
5833,3530,2341,22-10-2023,04-12-2024,Returned,518
5834,3245,2437,06-05-2024,24-11-2024,Returned,104
5835,3849,2113,11-10-2023,27-11-2024,Returned,526
5836,3550,2736,19-07-2023,,Issued,0
5837,3344,2512,14-08-2023,29-08-2024,Returned,462
5838,3284,2759,10-02-2023,30-04-2025,Returned,1320
5839,3886,2253,12-03-2023,22-08-2024,Returned,758
5840,3843,2829,07-06-2023,,Issued,0
5841,3217,2352,04-01-2023,02-06-2024,Returned,730
5842,3310,2254,25-01-2024,15-05-2025,Returned,652
5843,3140,2002,04-07-2023,31-05-2025,Returned,1094
5844,3463,2731,07-09-2022,10-05-2025,Returned,1652
5845,3091,2438,28-08-2022,14-04-2025,Returned,1620
5846,3495,2684,12-12-2023,17-02-2025,Returned,566
5847,3360,2417,03-01-2023,16-01-2025,Returned,1188
5848,3343,2087,02-03-2024,14-04-2025,Returned,516
5849,3882,2776,31-01-2023,06-11-2024,Returned,990
5850,3329,2120,16-02-2024,06-05-2025,Returned,590
5851,3976,2082,26-03-2024,21-07-2024,Returned,0
5852,3786,2912,05-11-2022,25-12-2024,Returned,1262
5853,3544,2161,09-07-2023,19-06-2024,Returned,392
5854,3055,2211,15-01-2023,28-11-2024,Returned,1066
5855,3002,2025,31-12-2022,14-09-2024,Returned,946
5856,3191,2202,29-05-2023,17-02-2025,Returned,960
5857,3978,2263,09-01-2023,10-05-2025,Returned,1404
5858,3866,2204,16-07-2023,14-08-2024,Returned,490
5859,3943,2709,13-10-2022,11-02-2025,Returned,1404
5860,3186,2240,30-09-2023,18-05-2025,Returned,892
5861,3270,2054,26-09-2023,,Issued,0
5862,3156,2926,21-09-2022,,Issued,0
5863,3504,2574,17-02-2023,,Issued,0
5864,3798,2370,12-05-2024,08-09-2024,Returned,0
5865,3786,2917,18-09-2022,,Issued,0
5866,3986,2395,31-08-2022,25-04-2025,Returned,1636
5867,3266,2313,29-03-2023,04-02-2025,Returned,1056
5868,3820,2365,15-03-2024,,Issued,0
5869,3513,2665,08-06-2022,02-02-2025,Returned,1640
5870,3366,2931,09-08-2023,11-12-2024,Returned,680
5871,3310,2076,25-04-2023,04-12-2024,Returned,878
5872,3193,2988,10-05-2024,20-03-2025,Returned,328
5873,3988,2668,04-06-2023,25-08-2024,Returned,596
5874,3171,2570,23-08-2023,,Issued,0
5875,3088,2113,13-08-2023,03-08-2024,Returned,412
5876,3043,2220,09-12-2022,17-04-2025,Returned,1420
5877,3610,2328,23-01-2024,27-01-2025,Returned,440
5878,3144,2398,26-05-2023,16-06-2024,Returned,474
5879,3400,2608,05-06-2023,10-11-2024,Returned,748
5880,3348,2388,08-03-2024,16-04-2025,Returned,508
5881,3903,2697,03-09-2022,27-12-2024,Returned,1392
5882,3113,2734,15-03-2024,16-07-2024,Returned,0
